timestamp,operating_mode,load_state,ambient_temp_degC,compressor_discharge_pressure_psig,receiver_pressure_psig,plant_header_pressure_psig,inlet_filter_dp_psid,separator_dp_psid,discharge_temp_degF,motor_current_A,package_flow_meter_scfm,hour_meter,alarm_code,operator_note
2026-05-04 06:00,load/unload,modulating,18.6,97.4,95.8,93.9,0.91,8.73,220.6,372.0,1287.4,28410,HIGH_DISCHARGE_TEMP,
2026-05-04 07:00,load/unload,modulating,21.6,99.0,97.2,95.6,0.89,8.7,225.5,377.4,1321.9,28411,HIGH_DISCHARGE_TEMP,
2026-05-04 08:00,load/unload,loaded,22.7,97.2,95.5,93.8,0.98,9.26,225.0,393.8,1374.1,28412,HIGH_DISCHARGE_TEMP,
2026-05-04 09:00,load/unload,loaded,25.1,95.9,94.0,92.4,0.93,9.22,229.1,397.2,1398.4,28413,HIGH_DISCHARGE_TEMP,
2026-05-04 10:00,load/unload,loaded,25.3,96.2,94.7,92.8,1.01,9.34,227.6,398.8,1392.6,28414,HIGH_DISCHARGE_TEMP,
2026-05-04 11:00,load/unload,loaded,26.3,96.4,94.7,92.9,0.9,9.57,232.5,388.8,1370.0,28415,HIGH_DISCHARGE_TEMP,
2026-05-04 12:00,load/unload,loaded,27.8,96.8,94.8,93.0,0.94,9.34,230.6,392.2,1365.6,28416,HIGH_DISCHARGE_TEMP,
2026-05-04 13:00,load/unload,loaded,27.7,96.9,95.2,93.3,0.93,9.1,230.3,387.4,1376.5,28417,HIGH_DISCHARGE_TEMP,
2026-05-04 14:00,load/unload,loaded,27.8,97.7,95.7,93.9,0.99,9.14,232.5,389.0,1366.6,28418,HIGH_DISCHARGE_TEMP,
2026-05-04 15:00,load/unload,loaded,26.3,96.5,94.6,93.1,0.96,9.46,230.8,393.3,1376.6,28419,HIGH_DISCHARGE_TEMP,
2026-05-04 16:00,load/unload,loaded,26.5,96.8,94.6,93.0,0.95,9.27,231.3,390.3,1408.0,28420,HIGH_DISCHARGE_TEMP,
2026-05-04 17:00,load/unload,loaded,24.2,95.6,93.3,91.7,1.04,9.65,228.8,398.1,1432.3,28421,HIGH_DISCHARGE_TEMP,
2026-05-04 18:00,load/unload,loaded,22.6,96.1,94.3,92.5,1.03,9.58,227.6,398.2,1393.6,28422,HIGH_DISCHARGE_TEMP,
2026-05-04 19:00,load/unload,modulating,21.7,99.9,97.8,96.1,0.84,8.28,223.1,365.5,1284.9,28423,HIGH_DISCHARGE_TEMP,
2026-05-04 20:00,load/unload,modulating,19.0,98.6,97.1,95.3,0.89,8.67,224.3,367.7,1286.8,28424,HIGH_DISCHARGE_TEMP,
2026-05-04 21:00,load/unload,modulating,16.7,100.0,98.3,96.6,0.92,8.73,221.4,369.7,1317.6,28425,HIGH_DISCHARGE_TEMP,
2026-05-04 22:00,load/unload,modulating,15.5,100.3,98.4,96.6,0.84,8.43,216.8,368.3,1297.7,28426,,
2026-05-04 23:00,load/unload,modulating,15.4,100.3,98.4,96.7,0.86,8.71,220.8,373.3,1295.1,28427,HIGH_DISCHARGE_TEMP,
2026-05-05 00:00,load/unload,modulating,14.7,99.5,97.5,95.7,0.92,8.83,217.1,368.6,1294.4,28428,,
2026-05-05 01:00,load/unload,modulating,13.6,98.1,96.2,94.3,0.89,8.52,214.8,377.9,1294.7,28429,,
2026-05-05 02:00,load/unload,modulating,14.9,99.1,97.5,95.7,0.86,8.64,217.3,373.5,1321.3,28430,,
2026-05-05 03:00,load/unload,modulating,14.8,98.6,96.7,94.9,0.93,8.82,217.2,371.3,1286.7,28431,,
2026-05-05 04:00,load/unload,modulating,16.7,100.3,98.3,96.6,0.81,8.75,222.0,365.5,1270.0,28432,HIGH_DISCHARGE_TEMP,
2026-05-05 05:00,load/unload,modulating,17.5,99.9,98.1,96.4,0.81,8.45,221.7,369.2,1313.0,28433,HIGH_DISCHARGE_TEMP,
2026-05-05 06:00,load/unload,modulating,18.5,98.4,96.9,95.1,0.84,8.4,222.4,369.3,1289.8,28434,HIGH_DISCHARGE_TEMP,
2026-05-05 07:00,load/unload,modulating,20.6,99.2,97.4,95.7,0.85,8.95,225.0,373.4,1326.5,28435,HIGH_DISCHARGE_TEMP,
